4,2896,110.89,0.298000 ms
19,61712,20.4014,0.937000 ms
34,104392,222.362,63.176000 ms
49,155040,318.327,136.782000 ms
64,217912,487.923,278.240000 ms
79,301312,150.539,259.426000 ms
94,344528,322.731,271.041000 ms
109,401736,412.79,475.319000 ms
124,429496,327.673,709.946000 ms
139,518768,268.544,515.988000 ms
154,534968,385.287,1037.576000 ms
169,618328,350.356,429.600000 ms
184,648440,745.567,1778.156000 ms
199,755928,614.174,2966.559000 ms
214,815672,924.346,3299.176000 ms
229,812000,52.9979,15.686000 ms
244,862432,514.605,765.195000 ms
259,955120,568.029,1954.316000 ms
274,1079992,698.308,5025.669000 ms
289,983800,893.818,6150.535000 ms
310,1153840,470.89,3572.770000 ms
350,1220488,707.524,2702.688000 ms
390,1449288,903.779,9918.063000 ms
430,1493040,200.057,124.063000 ms
470,1735064,1595.04,9836.993000 ms
