4,6640,171107,0.847000 ms
19,58736,72235.1,9.340000 ms
34,106872,68150.2,57.485000 ms
49,149440,96101.5,236.181000 ms
64,185536,44424.8,112.796000 ms
79,250112,85014,220.246000 ms
94,310040,75088.8,502.581000 ms
109,356464,53961.7,1094.152000 ms
124,443352,62676.7,1032.388000 ms
139,470144,71159.3,1210.449000 ms
154,530792,28159.2,86.865000 ms
169,608208,35920,324.338000 ms
184,618880,39993.1,967.628000 ms
199,725240,38323.1,2095.161000 ms
214,752552,52249.8,2623.522000 ms
229,847328,62360,4037.675000 ms
244,899448,45522.4,3273.694000 ms
259,958608,63337.1,5315.399000 ms
274,996096,39955.3,5184.481000 ms
289,1082976,65759.1,5879.746000 ms
310,1087328,60705.8,5086.290000 ms
350,1306080,41696.9,5603.745000 ms
390,1404600,69894.6,13209.043000 ms
430,1582104,15299.6,164.239000 ms
470,1800760,24329.2,2655.924000 ms
510,1937608,28368.7,7415.260000 ms
550,2038912,19373.1,3678.647000 ms
590,2150176,37824.1,17441.897000 ms
