4,1688,31758.8,0.228000 ms
19,20352,139815,4.299000 ms
34,45096,129676,16.860000 ms
49,60736,144221,32.696000 ms
64,82392,96100.6,51.298000 ms
79,107328,40818.9,69.831000 ms
94,127056,31443.9,15.046000 ms
109,153768,92349,224.988000 ms
124,172192,94788.9,387.029000 ms
139,192064,52154.8,245.885000 ms
154,214192,28170.8,260.848000 ms
169,235896,47415.8,196.408000 ms
184,259480,57000,324.854000 ms
199,282840,71715.4,695.975000 ms
214,305104,61804.2,719.034000 ms
229,323912,28475.8,130.705000 ms
244,345824,50822.9,909.624000 ms
259,367200,28493.4,410.486000 ms
274,394592,38641.8,581.753000 ms
289,416096,39269.7,880.463000 ms
310,448880,66913.4,1516.371000 ms
350,506936,81595.6,2198.484000 ms
390,565704,35768.3,637.678000 ms
430,620912,55603.9,3360.024000 ms
470,680368,33761.9,1784.821000 ms
510,726256,14157.2,444.353000 ms
550,791384,27340.8,486.528000 ms
590,853592,36491,5222.960000 ms
