4,2480,434.864,0.473000 ms
19,19928,177.651,5.124000 ms
34,41168,197.148,12.470000 ms
49,59096,354.594,37.512000 ms
64,79072,94.1867,11.589000 ms
79,101576,368.192,97.379000 ms
94,120768,359.995,85.007000 ms
109,141072,168.22,42.771000 ms
124,160416,824.606,237.297000 ms
139,184640,692.205,334.141000 ms
154,206664,258.562,106.349000 ms
169,229648,867.821,490.281000 ms
184,245376,601.723,214.555000 ms
199,271496,135.512,138.637000 ms
214,289120,599.324,303.172000 ms
229,301384,446.676,425.602000 ms
244,330336,366.005,500.402000 ms
259,348592,978.174,820.724000 ms
274,373904,791.864,779.174000 ms
289,386976,639.752,463.849000 ms
310,412768,432.371,812.190000 ms
350,471936,1094.35,1823.987000 ms
390,526048,1251.25,2563.774000 ms
430,584584,438.485,795.083000 ms
470,639960,1132.21,3018.946000 ms
510,699760,3505.14,5564.101000 ms
