4,7496,43296.5,1.030000 ms
19,65936,129606,39.188000 ms
34,141176,154074,140.157000 ms
49,211616,137208,302.558000 ms
64,277256,50933.6,191.188000 ms
79,350096,58868.2,726.458000 ms
94,422936,101154,1127.028000 ms
109,495776,45123.2,2227.714000 ms
124,575816,65178.6,2120.864000 ms
139,634256,20604.3,563.854000 ms
154,716696,28521.5,593.058000 ms
169,784736,24083.3,471.483000 ms
184,862376,30476.8,1711.585000 ms
199,930416,67582.5,6669.746000 ms
214,1000856,72418.1,7545.362000 ms
229,1066496,30048.2,3486.992000 ms
244,1151336,56561.8,6543.745000 ms
259,1221776,41351.6,6302.952000 ms
274,1292216,56697.8,11740.805000 ms
289,1362656,67351.8,13429.828000 ms
310,1457432,33490.4,4751.519000 ms
350,1649272,43564.9,14044.253000 ms
390,1853112,56706.9,15937.648000 ms
430,2037752,28814,9096.635000 ms
470,2236792,24843.8,9493.181000 ms
510,2426232,56958,46401.571000 ms
550,2639672,40625.4,27132.358000 ms
590,2817112,51485.8,54058.976000 ms
